Subject	Sex	Group	Age	Date	Day	Session	Condition	Condition2	food_top	food_below	trial_number	position_correct	baiting	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	peeking	unclear	peek_above.s	peek_below.s	peeking.s	Comment	Comment2
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	1	2	Bottom	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	2	1	Top	1	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	3	3	All	3	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	4	2	None	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	5	3	Top	3	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	6	1	All	3	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	7	1	Bottom	2	b	0	0	0	0		0	0	0	choice corrected from video	
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	8	3	None	2	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	9	2	All	2	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	10	3	Bottom	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	11	1	None	1	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	12	2	Top	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	13	3	None	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	14	2	All	2	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	15	3	Bottom	2	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	transparent	transparent	peanut	apple	16	1	Top	1	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	1	2	Top	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	2	3	None	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	3	1	Bottom	3	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	4	1	All	1	d	1	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	5	2	None	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	6	3	Top	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	7	2	Bottom	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	28/10/2018	19	1	opaque	opaque	peanut	apple	8	1	All	3	b	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	9	2	Top	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	10	3	All	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	11	1	None	2	b	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	12	3	Bottom	1	b	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	13	2	All	1	t	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	14	1	None	2	b	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	15	3	Top	2	t	0	0	0	0		0	0	0		
William	m	young chimps	18	29/10/2018	19	2	opaque	opaque	peanut	apple	16	1	Bottom	1	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	1	3	None	3	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	2	2	Bottom	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	3	2	Top	3	b	0	0	1	1		0	1	1	"trial repeated, Jane moved table and stimuli fell down"	
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	4	1	All	3	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	5	1	Top	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	6	2	None	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	7	3	All	3	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	8	3	Bottom	2	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	9	2	All	2	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	10	3	Top	3	d	1	0	0	0		0	0	0	"trial repeated, Jane moved table and stimuli fell down"	
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	11	1	None	3	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	12	3	Bottom	3	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	13	2	All	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	14	2	Bottom	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	15	1	Top	3	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	transparent	transparent	peanut	apple	16	3	None	3	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	opaque	opaque	peanut	apple	1	1	All	3	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	28/10/2018	19	1	opaque	opaque	peanut	apple	2	2	Bottom	3	b	0	1	0	1		1	0	1	24:35:00	
Jane	f	young chimps	14	28/10/2018	19	1	opaque	opaque	peanut	apple	3	2	None	3	b	0	0	1	1		0	1	1	25:37:00	
Jane	f	young chimps	14	28/10/2018	19	1	opaque	opaque	peanut	apple	4	3	Top	3	d	1	0	1	1		0	1	1	"trial repeated, Jane moved table and stimuli fell down"	29:54:00
Jane	f	young chimps	14	28/10/2018	19	1	opaque	opaque	peanut	apple	5	1	Bottom	3	b	0	0	0	0		0	0	0	"session stopped, did not approach platform for 1 min"	
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	6	3	All	2	b	0	0	1	1		0	1	1	01:20	
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	7	3	Top	3	d	1	0	1	1		0	1	1	02:30	very fast
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	8	2	None	3	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	9	1	Top	3	b	0	0	0	0		0	0	0		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	10	2	All	1	t	0	0	0	0		0	0	0		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	11	1	None	1	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	12	3	Bottom	3	d	1	1	0	1		1	0	1		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	13	2	Top	3	t	0	0	0	0		0	0	0	"one trial repeated, cylinders fell to the floor"	
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	14	1	Bottom	1	d	1	0	0	0		0	0	0		
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	15	2	All	2	d	1	1	0	1	1	0	0	0	climbs up	
Jane	f	young chimps	14	29/10/2018	19	2	opaque	opaque	peanut	apple	16	3	None	2	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	1	1	Top	2	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	2	2	None	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	3	2	All	2	d	1	1	0	1	1	0	0	0	came from above	
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	4	3	Bottom	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	5	1	Bottom	1	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	6	2	All	1	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	7	3	None	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	8	1	Top	2	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	9	1	All	1	d	1	0	1	1		0	1	1	13:30	
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	10	3	None	3	d	1	0	1	1		0	1	1	14:40	
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	11	2	Bottom	3	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	12	2	Top	3	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	13	2	All	2	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	14	3	Top	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	15	3	Bottom	2	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	transparent	transparent	peanut	apple	16	1	None	3	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	1	1	All	1	d	1	1	0	1	1	0	0	0	climbing up to platform	27:54:00
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	2	2	None	2	d	1	1	0	1	1	0	0	0	not sure about the bottom	
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	3	2	Top	1	b	0	1	0	1	1	0	0	0	sitting above when occluder is removed 	
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	4	1	Bottom	3	b	0	1	0	1	1	0	0	0	sitting above when occluder is removed 	
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	5	2	All	3	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	6	3	Top	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	7	3	None	3	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	8	2	Bottom	3	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	9	2	Top	3	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	10	1	Bottom	1	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	11	2	All	2	d	1	1	0	1	1	0	0	0	sitting on platform	
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	12	3	None	3	d	1	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	13	3	Bottom	1	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	14	1	None	3	t	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	15	2	Top	3	b	0	0	0	0		0	0	0		
Manno	m	young chimps	5	28/10/2018	19	1	opaque	opaque	peanut	apple	16	3	All	3	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	1	1	Top	1	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	2	3	None	3	d	1	0	1	1	1	0	0	0	01:55	not very clear
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	3	2	All	3	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	4	3	Bottom	3	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	5	1	Bottom	3	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	6	2	All	3	b	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	7	3	None	3	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	8	1	Top	3	b	0	0	1	1		0	1	1		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	9	1	All	3	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	10	3	None	3	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	11	2	Bottom	3	b	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	12	2	Top	3	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	13	2	All	2	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	14	3	Top	3	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	15	3	Bottom	2	b	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	transparent	transparent	apple	peanut	16	1	None	3	b	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	1	1	All	2	b	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	2	2	None	2	d	1	1	0	1		1	0	1		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	3	2	Top	2	d	1	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	4	1	Bottom	2	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	5	1	All	2	t	0	0	0	0		0	0	0		
Roy	m	young chimps	11	28/10/2018	19	1	opaque	opaque	apple	peanut	6	3	Top	3	d	1	0	0	0		0	0	0		
