Subject	Sex	Group	Age	Date	Day	Session	Phase	trial_number	position_correct	configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	peeking	unclear	peek_above.s	peek_below.s	peeking.s	Comment	Comment2			Chosen_distractor	switching_mistakes		
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	1	2	baited	3	lb	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	2	2	open	2	b	1	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	3	4	mixed	3	e	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	4	4	baited	3	lb	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	5	3	open	3	b	1	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	6	1	mixed	2	lb	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	7	3	open	4	b	1	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	8	3	mixed	3	l	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	9	1	baited	2	lb	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	10	1	open	1	b	1	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	11	3	baited	2	lb	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	transparent	12	2	mixed	2	b	1	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	1	2	mixed	2	b	1	0	1	1		0	1	1	24:25:00							
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	2	2	open	2	e	0	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	3	1	baited	2	lb	0	0	1	1		0	1	1	28:36:00							
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	4	4	open	4	b	1	0	1	1		0	1	1	00:15							
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	5	4	mixed	3	lb	0	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	1	opaque	6	4	baited	2	lb	0	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	7	4	open	4	b	1	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	8	1	mixed	2	lb	0	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	9	3	baited	2	lb	0	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	10	2	open	2	b	1	0	1	1		0	1	1								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	11	3	mixed	2	e	0	0	0	0		0	0	0								
Chipie	f	young chimps	27	02/11/2018	21	2	opaque	12	2	baited	2	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	1	2	open	2	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	2	1	baited	3	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	3	2	mixed	2	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	4	4	open	4	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	5	3	mixed	3	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	6	4	baited	1	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	7	4	mixed	2	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	8	1	open	1	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	9	2	baited	1	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	10	1	mixed	1	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	11	3	baited	1	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	transparent	12	3	open	3	b	1	0	0	0		0	0	0								
William	m	young chimps	18	02/11/2018	21	1	opaque	1	3	baited	1	lb	0	0	0	0		0	0	0								
William	m	young chimps	18	03/11/2018	21	2	opaque	2	2	open	2	b	1	0	0	0		0	0	0								
William	m	young chimps	18	03/11/2018	21	2	opaque	3	2	mixed	2	e	0	0	0	0		0	0	0								
William	m	young chimps	18	03/11/2018	21	2	opaque	4	1	mixed	1	b	1	0	0	0		0	0	0								
