ID	Sex	Group	Date	Time	Session	Condition	trial_number	position_correct	Configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	any_peek
Hazel	F	West	30/10/2018	pm	1	Transparent	1	2	All_Baited	1	LB	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	2	2	All_Open	3	OUn 	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	3	4	Mixed	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	4	4	All_Baited	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	5	3	All_Open	3	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	6	1	Mixed	3	OUn 	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	7	4	All_Open	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	8	4	Mixed	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	9	1	All_Baited	1	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	10	1	All_Open	1	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	11	3	All_Baited	4	LB	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	12	2	Mixed	3	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	1	2	All_Open	1	OUn 	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	2	1	All_Baited	3	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	3	2	Mixed	2	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	4	4	All_Open	4	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	5	3	Mixed	4	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	6	4	All_Baited	4	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	7	4	Mixed	2	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	8	1	All_Open	1	OB	1	0	1	1
Luna	F	West	30/10/2018	pm	1	Transparent	9	2	All_Baited	1	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	10	1	Mixed	1	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	11	3	All_Baited	1	LB	0	0	1	1
Luna	F	West	30/10/2018	pm	1	Transparent	12	3	All_Open	1	OUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	13	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	14	2	All_Open	2	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	15	2	Mixed	2	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	16	4	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	17	1	Mixed	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	18	3	All_Open	1	OUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	19	4	Mixed	1	LUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	20	4	All_Open	4	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	21	1	All_Baited	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	22	1	All_Open	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	23	2	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	24	3	Mixed	1	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	25	1	All_Open	1	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	26	4	Mixed	3	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	27	4	All_Baited	4	OB	1	0	1	1
Luna	F	West	15/11/2018	am	3	Transparent	28	4	All_Open	4	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	29	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	30	2	Mixed	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	31	2	All_Baited	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	32	3	All_Open	3	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	33	2	Mixed	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	34	1	All_Baited	1	OB	1	1	0	1
Luna	F	West	15/11/2018	am	3	Transparent	35	4	Mixed	2	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	36	2	All_Open	1	OUn 	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	37	1	All_Open	1	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	38	4	Mixed	3	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	39	4	All_Baited	4	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	40	4	All_Open	4	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	41	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	42	2	Mixed	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	43	2	All_Baited	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	44	3	All_Open	3	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	45	2	Mixed	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	46	1	All_Baited	1	OB	1	1	0	1
Luna	F	West	19/11/2018	am	4	Transparent	47	4	Mixed	2	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	48	2	All_Baited	1	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	1	1	All_Open	1	OB	1	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	2	4	Mixed	4	OB	1	1	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	3	4	All_Baited	4	OB	1	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	4	3	All_Open	4	OUn 	0	1	0	1
Ximo	M	West	31/10/2018	am	1	Transparent	5	3	All_Baited	4	LB	0	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	6	2	Mixed	4	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	7	2	All_Baited	4	LB	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	8	3	All_Open	4	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	9	2	Mixed	3	OUn 	0	1	0	1
Ximo	M	West	31/10/2018	am	1	Transparent	10	1	All_Baited	4	LB	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	11	4	Mixed	4	OB	1	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	12	2	All_Open	4	OUn 	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	13	4	Mixed	4	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	14	2	All_Baited	4	LB	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	15	3	All_Open	3	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	16	3	All_Baited	3	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	17	2	Mixed	4	LB	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	18	2	All_Open	2	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	19	1	Mixed	1	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	20	1	All_Open	1	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	21	1	All_Baited	1	OB	1	0	1	1
Ximo	M	West	15/11/2018	pm	2	Transparent	22	4	All_Open	4	OB	1	1	0	1
