ID	Sex	Group	Date	Time	Session	Condition	trial_number	position_correct	Configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	peek	prePeek_above	prePeek_below	prePeek	anyPeek_above	anyPeek_below	anyPeek
Carlos	M	East	01/11/2018	pm	1	Visible	1	2	all	3	b	0	0	1	1	0	0	0	0	1	1
Carlos	M	East	01/11/2018	pm	1	Visible	2	3	bottom	3	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	3	2	none	3	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	4	2	top	1	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	5	1	bottom	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	6	3	all	1	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	7	1	top	1	d	1	1	1	1	0	0	0	1	1	1
Carlos	M	East	01/11/2018	pm	1	Visible	8	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	9	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	10	1	bottom	2	t	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	11	2	all	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	12	2	top	1	t	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	13	1	bottom	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	14	2	all	1	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	01/11/2018	pm	1	Visible	15	3	none	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	01/11/2018	pm	1	Visible	16	2	top	2	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	08/11/2018	pm	2	Visible	1	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	2	1	bottom	1	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	3	2	all	1	t	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	4	2	top	2	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	5	3	all	1	b	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	6	3	bottom	3	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	7	1	none	1	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	8	1	top	1	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	9	2	top	1	b	0	0	0	0	0	1	1	0	1	1
Carlos	M	East	08/11/2018	pm	2	Visible	10	1	all	2	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	08/11/2018	pm	2	Visible	11	3	none	3	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	08/11/2018	pm	2	Visible	12	1	bottom	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	08/11/2018	pm	2	Visible	13	2	top	2	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	08/11/2018	pm	2	Visible	14	3	all	3	d	1	0	0	0	1	1	1	1	1	1
Carlos	M	East	08/11/2018	pm	2	Visible	15	3	bottom	2	t	0	0	0	0	1	1	1	1	1	1
Carlos	M	East	08/11/2018	pm	2	Visible	16	3	none	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	am	3	Visible	1	1	all	2	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	09/11/2018	am	3	Visible	2	3	bottom	1	b	0	0	0	0	1	1	1	1	1	1
Carlos	M	East	09/11/2018	am	3	Visible	3	2	none	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	am	3	Visible	4	2	top	1	t	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	am	3	Visible	5	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	am	3	Visible	6	1	all	1	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	am	3	Visible	7	3	top	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	am	3	Visible	8	1	none	1	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	9	1	none	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	pm	3	Visible	10	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	11	2	all	2	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	12	2	top	1	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	13	3	bottom	3	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	14	2	all	1	t	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	09/11/2018	pm	3	Visible	15	1	none	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	09/11/2018	pm	3	Visible	16	2	top	1	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	1	3	none	1	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	2	1	bottom	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	am	4	Visible	3	2	all	2	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	4	2	top	1	b	0	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	am	4	Visible	5	3	all	1	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	6	3	bottom	2	b	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	7	1	none	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	am	4	Visible	8	1	top	1	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	9	2	top	1	b	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	10	1	all	1	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	11	3	none	2	t	0	1	0	1	0	0	0	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	12	1	bottom	1	d	1	1	0	1	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	13	2	top	1	t	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	14	3	all	3	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	am	4	Visible	15	3	bottom	1	b	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	12/11/2018	am	4	Visible	16	1	none	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	pm	5	Visible	1	3	none	3	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	12/11/2018	pm	5	Visible	2	2	bottom	2	d	1	0	0	0	1	1	1	1	1	1
Carlos	M	East	12/11/2018	pm	5	Visible	3	2	top	2	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	pm	5	Visible	4	1	all	1	d	1	0	0	0	1	0	1	1	0	1
Carlos	M	East	12/11/2018	pm	5	Visible	5	1	top	1	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	pm	5	Visible	6	2	none	2	d	1	0	0	0	0	0	0	0	0	0
Carlos	M	East	12/11/2018	pm	5	Visible	7	3	all	1	t	0	0	0	0	1	1	1	1	1	1
Carlos	M	East	12/11/2018	pm	5	Visible	8	3	bottom	1	t	0	1	0	1	1	0	1	1	0	1
Carlos	M	East	13/11/2018	am	5	Visible	9	1	all	1	d	1	0	0	0	1	1	1	1	1	1
Carlos	M	East	13/11/2018	am	5	Visible	10	3	top	2	b	0	0	0	0	1	0	1	1	0	1
Carlos	M	East	13/11/2018	am	5	Visible	11	1	none	1	d	1	1	0	1	0	0	0	1	0	1
Carlos	M	East	13/11/2018	am	5	Visible	12	3	bottom	1	t	0	0	0	0	1	0	1	1	0	1
