ID	Condition	score	All_peeks	Peek_Type	peek_freq
Carlos	Transparent	0.59	0.66	PIP	0.28
Chico	Transparent	0.72	0.31	PIP	0.19
Flojo	Transparent	0.65	0.16	PIP	0.06
Kato	Transparent	0.60	0.69	PIP	0.23
Reuben	Transparent	0.55	0.77	PIP	0.52
Inti	Transparent	0.65	0.53	PIP	0.19
Pixie	Transparent	0.65	0.44	PIP	0.11
Torres	Transparent	0.65	0.85	PIP	0.69
Ximo	Transparent	0.52	0.77	PIP	0.52
Carlos	Transparent	0.59	0.66	PPP	0.46
Chico	Transparent	0.72	0.31	PPP	0.16
Flojo	Transparent	0.65	0.16	PPP	0.11
Kato	Transparent	0.60	0.69	PPP	0.53
Reuben	Transparent	0.55	0.77	PPP	0.59
Inti	Transparent	0.65	0.53	PPP	0.41
Pixie	Transparent	0.65	0.44	PPP	0.35
Torres	Transparent	0.65	0.85	PPP	0.45
Ximo	Transparent	0.52	0.77	PPP	0.56
Carlos	Opaque	0.56	1.00	PIP	0.88
Chico	Opaque	0.63	0.94	PIP	0.56
Flojo	Opaque	0.50	0.50	PIP	0.31
Kato	Opaque	0.56	1.00	PIP	0.50
Reuben	Opaque	0.31	0.94	PIP	0.56
Inti	Opaque	0.44	0.50	PIP	0.25
Pixie	Opaque	0.38	0.94	PIP	0.50
Torres	Opaque	0.56	0.94	PIP	0.81
Ximo	Opaque	0.56	1.00	PIP	0.63
Carlos	Opaque	0.56	1.00	PPP	0.75
Chico	Opaque	0.63	0.94	PPP	0.69
Flojo	Opaque	0.50	0.50	PPP	0.19
Kato	Opaque	0.56	1.00	PPP	0.69
Reuben	Opaque	0.31	0.94	PPP	0.69
Inti	Opaque	0.44	0.50	PPP	0.25
Pixie	Opaque	0.38	0.94	PPP	0.69
Torres	Opaque	0.56	0.94	PPP	0.56
Ximo	Opaque	0.56	1.00	PPP	0.75
Carlos	Opaque2	0.69	0.81	PIP	0.69
Chico	Opaque2	0.38	0.75	PIP	0.75
Flojo	Opaque2	0.50	0.19	PIP	0.19
Kato	Opaque2	0.50	0.88	PIP	0.81
Reuben	Opaque2	0.44	0.94	PIP	0.81
Inti	Opaque2	0.44	0.19	PIP	0.19
Pixie	Opaque2	0.44	0.25	PIP	0.19
Torres	Opaque2	0.50	1.00	PIP	0.75
Ximo	Opaque2	0.38	0.75	PIP	0.63
Carlos	Opaque2	0.69	0.81	PPP	0.25
Chico	Opaque2	0.38	0.75	PPP	0.31
Flojo	Opaque2	0.50	0.19	PPP	0.00
Kato	Opaque2	0.50	0.88	PPP	0.38
Reuben	Opaque2	0.44	0.94	PPP	0.81
Inti	Opaque2	0.44	0.19	PPP	0.06
Pixie	Opaque2	0.44	0.25	PPP	0.06
Torres	Opaque2	0.50	1.00	PPP	0.88
Ximo	Opaque2	0.38	0.75	PPP	0.38
