ID	Condition	Configuration	Score		
Carlos	Transparent	All	0.57		
Chico	Transparent	All	0.67		
Flojo	Transparent	All	0.50		
Kato	Transparent	All	0.52		
Reuben	Transparent	All	0.42		
Inti	Transparent	All	0.63		
Pixie	Transparent	All	0.60		
Torres	Transparent	All	0.50		
Ximo	Transparent	All	0.46		
Carlos	Transparent	Bottom	0.61		
Chico	Transparent	Bottom	0.75		
Flojo	Transparent	Bottom	0.80		
Kato	Transparent	Bottom	0.79		
Reuben	Transparent	Bottom	0.63		
Inti	Transparent	Bottom	0.67		
Pixie	Transparent	Bottom	0.75		
Torres	Transparent	Bottom	0.75		
Ximo	Transparent	Bottom	0.79		
Carlos	Transparent	Top	0.50		
Chico	Transparent	Top	0.69		
Flojo	Transparent	Top	0.70		
Kato	Transparent	Top	0.50		
Reuben	Transparent	Top	0.55		
Inti	Transparent	Top	0.58		
Pixie	Transparent	Top	0.60		
Torres	Transparent	Top	0.80		
Ximo	Transparent	Top	0.38		
Carlos	Transparent	None	0.68		
Chico	Transparent	None	0.76		
Flojo	Transparent	None	0.60		
Kato	Transparent	None	0.60		
Reuben	Transparent	None	0.59		
Inti	Transparent	None	0.71		
Pixie	Transparent	None	0.65		
Torres	Transparent	None	0.55		
Ximo	Transparent	None	0.46		
Carlos	Opaque	All	0.25		
Chico	Opaque	All	0.50		
Flojo	Opaque	All	0.50		
Kato	Opaque	All	0.50		
Reuben	Opaque	All	0.50		
Inti	Opaque	All	0.25		
Pixie	Opaque	All	0.50		
Torres	Opaque	All	0.75		
Ximo	Opaque	All	0.50		
Carlos	Opaque	Bottom	0.75		
Chico	Opaque	Bottom	0.75		
Flojo	Opaque	Bottom	0.75		
Kato	Opaque	Bottom	1.00		
Reuben	Opaque	Bottom	0.50		
Inti	Opaque	Bottom	0.50		
Pixie	Opaque	Bottom	0.50		
Torres	Opaque	Bottom	0.75		
Ximo	Opaque	Bottom	0.50		
Carlos	Opaque	Top	0.75		
Chico	Opaque	Top	0.75		
Flojo	Opaque	Top	0.50		
Kato	Opaque	Top	0.50		
Reuben	Opaque	Top	0.00		
Inti	Opaque	Top	0.75		
Pixie	Opaque	Top	0.50		
Torres	Opaque	Top	0.25		
Ximo	Opaque	Top	0.50		
Carlos	Opaque	None	0.50		
Chico	Opaque	None	0.50		
Flojo	Opaque	None	0.25		
Kato	Opaque	None	0.25		
Reuben	Opaque	None	0.25		
Inti	Opaque	None	0.25		
Pixie	Opaque	None	0.00		
Torres	Opaque	None	0.50		
Ximo	Opaque	None	0.75		
Carlos	Opaque2	All	0.75		
Chico	Opaque2	All	0.50		
Flojo	Opaque2	All	0.50		
Kato	Opaque2	All	0.50		
Reuben	Opaque2	All	0.50		
Inti	Opaque2	All	0.50		
Pixie	Opaque2	All	0.50		
Torres	Opaque2	All	0.25		
Ximo	Opaque2	All	0.25		
Carlos	Opaque2	Bottom	1.00		
Chico	Opaque2	Bottom	0.50		
Flojo	Opaque2	Bottom	0.25		
Kato	Opaque2	Bottom	0.50		
Reuben	Opaque2	Bottom	0.50		
Inti	Opaque2	Bottom	0.50		
Pixie	Opaque2	Bottom	0.50		
Torres	Opaque2	Bottom	1.00		
Ximo	Opaque2	Bottom	0.50		
Carlos	Opaque2	Top	0.50		
Chico	Opaque2	Top	0.25		
Flojo	Opaque2	Top	0.50		
Kato	Opaque2	Top	0.50		
Reuben	Opaque2	Top	0.75		
Inti	Opaque2	Top	0.25		
Pixie	Opaque2	Top	0.50		
Torres	Opaque2	Top	0.50		
Ximo	Opaque2	Top	0.25		
Carlos	Opaque2	None	0.50		
Chico	Opaque2	None	0.25		
Flojo	Opaque2	None	0.75		
Kato	Opaque2	None	0.50		
Reuben	Opaque2	None	0.00		
Inti	Opaque2	None	0.50		
Pixie	Opaque2	None	0.25		
Torres	Opaque2	None	0.25		
Ximo	Opaque2	None	0.50		
