ID	Condition	peek	score		
Carlos	Opaque	peek_N	0.00		
Chico	Opaque	peek_N	0.71		
Flojo	Opaque	peek_N	0.64		
Kato	Opaque	peek_N	0.50		
Reuben	Opaque	peek_N	0.57		
Inti	Opaque	peek_N	0.50		
Pixie	Opaque	peek_N	0.38		
Torres	Opaque	peek_N	0.67		
Ximo	Opaque	peek_N	0.50		
Carlos	Opaque	peek_Y	0.64		
Chico	Opaque	peek_Y	0.56		
Flojo	Opaque	peek_Y	0.20		
Kato	Opaque	peek_Y	0.63		
Reuben	Opaque	peek_Y	0.11		
Inti	Opaque	peek_Y	0.25		
Pixie	Opaque	peek_Y	0.38		
Torres	Opaque	peek_Y	0.54		
Ximo	Opaque	peek_Y	0.60		
Carlos	Opaque	prepeek_N	0.50		
Chico	Opaque	prepeek_N	0.60		
Flojo	Opaque	prepeek_N	0.54		
Kato	Opaque	prepeek_N	0.40		
Reuben	Opaque	prepeek_N	0.40		
Inti	Opaque	prepeek_N	0.42		
Pixie	Opaque	prepeek_N	0.20		
Torres	Opaque	prepeek_N	0.57		
Ximo	Opaque	prepeek_N	0.75		
Carlos	Opaque	prePeek_Y	0.58		
Chico	Opaque	prePeek_Y	0.64		
Flojo	Opaque	prePeek_Y	0.33		
Kato	Opaque	prePeek_Y	0.64		
Reuben	Opaque	prePeek_Y	0.27		
Inti	Opaque	prePeek_Y	0.50		
Pixie	Opaque	prePeek_Y	0.45		
Torres	Opaque	prePeek_Y	0.56		
Ximo	Opaque	prePeek_Y	0.50		
Carlos	Opaque	Anypeek_N	NA		
Chico	Opaque	Anypeek_N	1.00		
Flojo	Opaque	Anypeek_N	0.75		
Kato	Opaque	Anypeek_N	NA		
Reuben	Opaque	Anypeek_N	1.00		
Inti	Opaque	Anypeek_N	0.50		
Pixie	Opaque	Anypeek_N	1.00		
Torres	Opaque	Anypeek_N	1.00		
Ximo	Opaque	Anypeek_N	NA		
Carlos	Opaque	Anypeek_Y	0.56		
Chico	Opaque	Anypeek_Y	0.60		
Flojo	Opaque	Anypeek_Y	0.25		
Kato	Opaque	Anypeek_Y	0.56		
Reuben	Opaque	Anypeek_Y	0.27		
Inti	Opaque	Anypeek_Y	0.38		
Pixie	Opaque	Anypeek_Y	0.33		
Torres	Opaque	Anypeek_Y	0.53		
Ximo	Opaque	Anypeek_Y	0.56		
Carlos	OpaqueProc2	peek_Y	0.73		
Chico	OpaqueProc2	peek_Y	0.33		
Flojo	OpaqueProc2	peek_Y	1.00		
Kato	OpaqueProc2	peek_Y	0.46		
Reuben	OpaqueProc2	peek_Y	0.38		
Inti	OpaqueProc2	peek_Y	0.33		
Pixie	OpaqueProc2	peek_Y	0.33		
Torres	OpaqueProc2	peek_Y	0.50		
Ximo	OpaqueProc2	peek_Y	0.30		
Carlos	OpaqueProc2	peek_N	0.60		
Chico	OpaqueProc2	peek_N	0.50		
Flojo	OpaqueProc2	peek_N	0.38		
Kato	OpaqueProc2	peek_N	0.67		
Reuben	OpaqueProc2	peek_N	0.67		
Inti	OpaqueProc2	peek_N	0.46		
Pixie	OpaqueProc2	peek_N	0.46		
Torres	OpaqueProc2	peek_N	0.50		
Ximo	OpaqueProc2	peek_N	0.50		
Carlos	OpaqueProc2	prepeek_N	0.83		
Chico	OpaqueProc2	prepeek_N	0.27		
Flojo	OpaqueProc2	prepeek_N	0.50		
Kato	OpaqueProc2	prepeek_N	0.50		
Reuben	OpaqueProc2	prepeek_N	0.67		
Inti	OpaqueProc2	prepeek_N	0.47		
Pixie	OpaqueProc2	prepeek_N	0.47		
Torres	OpaqueProc2	prepeek_N	0.00		
Ximo	OpaqueProc2	prepeek_N	0.40		
Carlos	OpaqueProc2	prePeek_Y	0.25		
Chico	OpaqueProc2	prePeek_Y	0.60		
Flojo	OpaqueProc2	prePeek_Y	NA		
Kato	OpaqueProc2	prePeek_Y	0.50		
Reuben	OpaqueProc2	prePeek_Y	0.38		
Inti	OpaqueProc2	prePeek_Y	0.00		
Pixie	OpaqueProc2	prePeek_Y	0.00		
Torres	OpaqueProc2	prePeek_Y	0.57		
Ximo	OpaqueProc2	prePeek_Y	0.33		
Carlos	OpaqueProc2	Anypeek_N	1.00		
Chico	OpaqueProc2	Anypeek_N	0.50		
Flojo	OpaqueProc2	Anypeek_N	0.38		
Kato	OpaqueProc2	Anypeek_N	0.50		
Reuben	OpaqueProc2	Anypeek_N	1.00		
Inti	OpaqueProc2	Anypeek_N	0.46		
Pixie	OpaqueProc2	Anypeek_N	0.50		
Torres	OpaqueProc2	Anypeek_N	NA		
Ximo	OpaqueProc2	Anypeek_N	0.50		
Carlos	OpaqueProc2	Anypeek_Y	0.62		
Chico	OpaqueProc2	Anypeek_Y	0.33		
Flojo	OpaqueProc2	Anypeek_Y	1.00		
Kato	OpaqueProc2	Anypeek_Y	0.50		
Reuben	OpaqueProc2	Anypeek_Y	0.40		
Inti	OpaqueProc2	Anypeek_Y	0.33		
Pixie	OpaqueProc2	Anypeek_Y	0.25		
Torres	OpaqueProc2	Anypeek_Y	0.50		
Ximo	OpaqueProc2	Anypeek_Y	0.33		
