ID	Sex	Group	Date	Time	Session	Condition	trial_number	position_correct	Configuration	chosen_cup_POS	chosen_cup	correct	peek_above	peek_below	any_peek
Hazel	F	West	30/10/2018	pm	1	Transparent	1	2	All_Baited	1	LB	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	2	2	All_Open	3	OUn 	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	3	4	Mixed	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	4	4	All_Baited	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	5	3	All_Open	3	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	6	1	Mixed	3	OUn 	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	7	4	All_Open	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	8	4	Mixed	4	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	9	1	All_Baited	1	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	10	1	All_Open	1	OB	1	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	11	3	All_Baited	4	LB	0	0	0	0
Hazel	F	West	30/10/2018	pm	1	Transparent	12	2	Mixed	3	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	1	2	All_Open	1	OUn 	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	2	1	All_Baited	3	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	3	2	Mixed	2	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	4	4	All_Open	4	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	5	3	Mixed	4	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	6	4	All_Baited	4	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	7	4	Mixed	2	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	8	1	All_Open	1	OB	1	0	1	1
Luna	F	West	30/10/2018	pm	1	Transparent	9	2	All_Baited	1	LB	0	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	10	1	Mixed	1	OB	1	0	0	0
Luna	F	West	30/10/2018	pm	1	Transparent	11	3	All_Baited	1	LB	0	0	1	1
Luna	F	West	30/10/2018	pm	1	Transparent	12	3	All_Open	1	OUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	1	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	2	2	All_Open	2	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	3	2	Mixed	2	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	4	4	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	5	1	Mixed	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	6	3	All_Open	1	OUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	7	4	Mixed	1	LUn 	0	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	8	4	All_Open	4	OB	1	0	1	1
Luna	F	West	31/10/2018	am	2	Transparent	9	1	All_Baited	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	10	1	All_Open	1	OB	1	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	11	2	All_Baited	1	LB	0	0	0	0
Luna	F	West	31/10/2018	am	2	Transparent	12	3	Mixed	1	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	1	1	All_Open	1	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	2	4	Mixed	3	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	3	4	All_Baited	4	OB	1	0	1	1
Luna	F	West	15/11/2018	am	3	Transparent	4	4	All_Open	4	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	5	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	6	2	Mixed	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	7	2	All_Baited	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	8	3	All_Open	3	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	9	2	Mixed	2	OB	1	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	10	1	All_Baited	1	OB	1	1	0	1
Luna	F	West	15/11/2018	am	3	Transparent	11	4	Mixed	2	LB	0	0	0	0
Luna	F	West	15/11/2018	am	3	Transparent	12	2	All_Open	1	OUn 	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	1	1	All_Open	1	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	2	4	Mixed	3	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	3	4	All_Baited	4	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	4	4	All_Open	4	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	5	3	All_Baited	1	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	6	2	Mixed	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	7	2	All_Baited	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	8	3	All_Open	3	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	9	2	Mixed	2	OB	1	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	10	1	All_Baited	1	OB	1	1	0	1
Luna	F	West	19/11/2018	am	4	Transparent	11	4	Mixed	2	LB	0	0	0	0
Luna	F	West	19/11/2018	am	4	Transparent	12	2	All_Baited	1	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	1	1	All_Open	1	OB	1	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	2	4	Mixed	4	OB	1	1	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	3	4	All_Baited	4	OB	1	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	4	3	All_Open	4	OUn 	0	1	0	1
Ximo	M	West	31/10/2018	am	1	Transparent	5	3	All_Baited	4	LB	0	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	6	2	Mixed	4	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	7	2	All_Baited	4	LB	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	8	3	All_Open	4	OUn 	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	9	2	Mixed	3	OUn 	0	1	0	1
Ximo	M	West	31/10/2018	am	1	Transparent	10	1	All_Baited	4	LB	0	0	0	0
Ximo	M	West	31/10/2018	am	1	Transparent	11	4	Mixed	4	OB	1	0	1	1
Ximo	M	West	31/10/2018	am	1	Transparent	12	2	All_Open	4	OUn 	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	1	4	Mixed	4	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	2	2	All_Baited	4	LB	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	3	3	All_Open	3	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	4	3	All_Baited	3	OB	1	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	5	2	Mixed	4	LB	0	0	0	0
Ximo	M	West	14/11/2018	pm	2	Transparent	6	2	All_Open	2	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	7	1	Mixed	1	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	8	1	All_Open	1	OB	1	0	0	0
Ximo	M	West	15/11/2018	pm	2	Transparent	9	1	All_Baited	1	OB	1	0	1	1
Ximo	M	West	15/11/2018	pm	2	Transparent	10	4	All_Open	4	OB	1	1	0	1
